q proc name  golang implementation func
-------------------------------------------
_printregs       base_PrintRegs
abs              mathAbs
acos             mathAcos
after            strAfter
arglist          osArgList
argopts          osArgOpts
argstr           osArgStr
asin             mathAsin
assert           baseAssert
atan             mathAtan
atan2            mathAtan2
before           strBefore
bye              baseTerm
byte             strByte
ceil             mathCeil
char             strChar
chdir            osChdir
clearenv         osClearenv
clock            osClock
collectgarbage   baseCollectGarbage
concat           listConcat
contains         strContains
containsany      strContainsAny
cos              mathCos
cosh             mathCosh
count            strCount
date             osDate
dbggetfenv       debugGetFEnv
dbggetinfo       debugGetInfo
dbggetlocal      debugGetLocal
dbggetmetalist   debugGetMetalist
dbggetupvalue    debugGetUpvalue
dbgsetfenv       debugSetFEnv
dbgsetlocal      debugSetLocal
dbgsetmetalist   debugSetMetalist
dbgsetupvalue    debugSetUpvalue
dbgtraceback     debugTraceback
deg              mathDeg
decodeBase64     strDecodeBase64
deploymentinfo   externDeploymentInfo
difftime         osDiffTime
dump             strDump
dumpl            listDump
encodebase64     strEncodeBase64
erase            listErase
error            baseError
escapexml        strEscapeXmlData
execute          osExecute
exist            osExist
exit             osExit
exp              mathExp
fact             mathFact
fib              mathFib
files            osFiles
find             strFind
floor            mathFloor
fmod             mathFmod
format           strFormat
frexp            mathFrexp
getenv           osGetEnv
geteuid          osGeteuid
getfenv          baseGetFEnv
gethome          osGethome
getmetalist      baseGetMetalist
getn             listGetN
getpid           osGetpid
getppid          osGetppid
getuid           osGetuid
getuser          osGetuser
getwd            osGetwd
gsub             strGsub
hasprefix        strHasPrefix
hassuffix        strHasSuffix
help             baseHelp
hostname         osHostname
index            strIndex
indexany         strIndexAny
insert           listInsert
isname           strIsName
isxmltagname     strIsXmlTagName
keys             baseKeys
lastindex        strLastIndex
lastindexany     strLastIndexAny
ldexp            mathLdexp
len              strLen
length           strLen
load             baseLoad
loadfile         baseLoadFile
loadstring       baseLoadString
log              mathLog
log10            mathLog10
logd             baseLogDebug
loge             baseLogError
logi             baseLogInfo
logw             baseLogWarning
lower            strLower
makexmltag       strMakeXmlTagName
marshal          listMarshal
marshalxml       listMarshalXml
match            strMatch
max              mathMax
maxn             listMaxN
mean             mathMean
median           mathMedian
min              mathMin
mod              mathMod
mode             mathMode
modf             mathModf
module           loModule
next             baseNext
notify           externNotify
pcall            basePCall
pow              mathPow
prxchange        strPrxChange
prxmatch         strPrxMatch
put              basePut
quit             baseTerm
rad              mathRad
random           mathRandom
randomseed       mathRandomseed
range            mathRange
rawequal         baseRawEqual
rawget           baseRawGet
rawset           baseRawSet
remove           osRemove
rename           osRename
rep              strRep
replace          strReplace
require          loRequire
reverse          strReverse
rms              mathRms
run              baseRun
scan             strScan
scanall          strScanAll
select           baseSelect
sendmail         externSendMail
setenv           osSetEnv
setfenv          baseSetFEnv
setlocale        osSetLocale
setmailhost      externSetMailHost
setmetalist      baseSetMetalist
sin              mathSin
sinh             mathSinh
sleep            osSleep
sort             listSort
sqrt             mathSqrt
stat             osStat
statfs           osStatfs
stddev           mathStdDev
stop             baseTerm
sub              strSub
substr           strSubstr
sum              mathSum
tan              mathTan
tanh             mathTanh
time             osTime
title            strTitle
tmpname          osTmpname
tonumber         baseToNumber
tostring         baseToString
trim             strTrim
trimleft         strTrimLeft
trimprefix       strTrimPrefix
trimright        strTrimRight
trimspace        strTrimSpace
trimsuffix       strTrimSuffix
type             baseType
unescapexml      strUnEscapeXmlData
unmarshal        listUnMarshal
unpack           baseUnpack
unsetenv         osUnsetenv
upper            strUpper
uuidgen          osUuidGen
uuidgenfmt       osUuidGenFmt
variance         mathVariance
xpcall           baseXPCall
